"PeakNumber";"Group";"CompoundName";"Isomer";"Class";"TechnicalMixture";"DetectedinPacificDolphin";"SpectrumFilename";"Identification";"Comment";"FragmentIdentification";"Formula";"RetentionTime1D";"RetentionTime2D";"TypicallyMonitored";"Instrument"
850;17;"DDOH ";"DDOH ";"known degradation product ";"DDT 500PPM";FALSE;17;"Reference Database MS";"";"165 [M-CH4Cl2O]+; 199 [M-CH4ClO]+; 235 [M-CH3O]+; 266 M+ ";"C14H12Cl2O";1366.06;1.241;FALSE;"GCxGC-TOF, EI, 70 eV"
881;18;"unknown 6";"unknown 6-1 ";"other";"DDT 500PPM";FALSE;18;NA;NA;NA;NA;1380.05;1.162;FALSE;"GCxGC-TOF, EI, 70 eV"
929;18;"unknown 6";"unknown 6-2";"other";"DDT 500PPM";FALSE;18;NA;NA;NA;NA;1415.03;1.162;FALSE;"GCxGC-TOF, EI, 70 eV"
898;19;"unknown 7";"unknown 7";"other";"DDT 500PPM";FALSE;19;NA;NA;NA;NA;1390.55;1.261;FALSE;"GCxGC-TOF, EI, 70 eV"
904;20;"DDD";"o,p'-DDD";"major degradation product ";"DDT 500PPM";TRUE;20;"Authentic MS RT";"";"165 [M-CHCl4]+; 235 [M-CHCl2]+; 318 M+ ";"C14H10Cl4";1394.05;1.221;TRUE;"GCxGC-TOF, EI, 70 eV"
922;20;"DDD";"DDD 1";"major degradation product ";"DDT 500PPM";FALSE;20;"Authentic MS";"";"165 [M-CHCl4]+; 235 [M-CHCl2]+; 318 M+ ";"C14H10Cl4";1411.54;1.214;FALSE;"GCxGC-TOF, EI, 70 eV"
964;20;"DDD";"p,p'-DDD";"major degradation product ";"DDT 500PPM";TRUE;20;"Authentic MS RT";"";"165 [M-CHCl4]+; 235 [M-CHCl2]+; 318 M+ ";"C14H10Cl4";1436.02;1.313;TRUE;"GCxGC-TOF, EI, 70 eV"
1038;20;"DDD";"DDD 2";"major degradation product ";"DDT 500PPM";FALSE;20;"Authentic MS";"";"165 [M-CHCl4]+; 235 [M-CHCl2]+; 318 M+ ";"C14H10Cl4";1467.5;1.168;FALSE;"GCxGC-TOF, EI, 70 eV"
914;21;"unknown 8";"unknown 8";"other";"DDT 500PPM";FALSE;21;NA;NA;NA;NA;1408.04;1.168;FALSE;"GCxGC-TOF, EI, 70 eV"
931;22;"dichlorodiphenyl";"p,p'-dichlorodiphenyl sulfone";"other";"DDT 500PPM";FALSE;22;"Authentic MS RT";"";"159 [M-C6H4ClSO]+; 286 M+ ";"C12H8Cl2O2S";1415.03;1.313;FALSE;"GCxGC-TOF, EI, 70 eV"
954;22;"dichlorodiphenyl";"dichlorodiphenyl sulfone";"other";"DDT 500PPM";FALSE;22;"Authentic MS";"NIST I.D. 1,1'-sulfonylbis[4-chloro-benzene]";"159 [M-C6H4ClSO]+; 286 M+ ";"C12H8Cl2O2S";1429.03;1.393;FALSE;"GCxGC-TOF, EI, 70 eV"
935;23;"DDT";"DDT 1";"DDT";"DDT 500PPM";FALSE;23;"Authentic MS";"";"235 [M-CH2Cl3]+; 354 M+ ";"C14H9Cl5";1418.53;1.234;FALSE;"GCxGC-TOF, EI, 70 eV"
977;23;"DDT";"o,p'-DDT";"DDT";"DDT 500PPM";TRUE;23;"Authentic MS RT";"";"235 [M-CH2Cl3]+; 354 M+ ";"C14H9Cl5";1436.02;1.313;TRUE;"GCxGC-TOF, EI, 70 eV"
